Gene,Gene,Value
UBIAD1,UBIAD1,0.846
RPS4Y1,RPS4Y1,0.832
LPAR3,LPAR3,0.8
GAL3ST1,GAL3ST1,0.788
PSD2,PSD2,0.722
UQCRHL,UQCRHL,0.67
SLC8A3,SLC8A3,0.602
CLEC9A,CLEC9A,0.594
NPFF,NPFF,0.582
C11orf16,C11orf16,0.566
PLAAT2,PLAAT2,0.514
SESN1,SESN1,0.51
NQO1,NQO1,0.494
RRM2B,RRM2B,0.488
KBTBD3,KBTBD3,0.488
CDKN2A,CDKN2A,0.488
GPR160,GPR160,0.484
VARS2,VARS2,0.47
CHIC2,CHIC2,0.458
STK38L,STK38L,0.444
PIGW,PIGW,0.428
PINX1,PINX1,0.426
KLRB1,KLRB1,0.422
BEX2,BEX2,0.422
VWDE,VWDE,0.422
TXNDC12,TXNDC12,0.412
EXOC3,EXOC3,0.41
TTPAL,TTPAL,0.408
ENSG00000278384,ENSG00000278384,0.4
CCDC170,CCDC170,0.398
BRINP1,BRINP1,0.394
LRRC17,LRRC17,0.38
SLC30A2,SLC30A2,0.38
TRIM15,TRIM15,0.354
LILRB3,LILRB3,0.35
PRICKLE4,PRICKLE4,0.346
MYO19,MYO19,0.332
SERPINI1,SERPINI1,0.33
ZFP14,ZFP14,0.318
MUC13,MUC13,0.312
AP5S1,AP5S1,0.31
KCNK5,KCNK5,0.31
WDR6,WDR6,0.3
IGFBPL1,IGFBPL1,0.3
ATXN3,ATXN3,0.298
RAB25,RAB25,0.296
FAM3B,FAM3B,0.292
OLR1,OLR1,0.29
ODC1,ODC1,0.282
ARPC3,ARPC3,0.27
TVP23B,TVP23B,0.268
TMSB10,TMSB10,0.264
ZNF93,ZNF93,0.254
STX1B,STX1B,0.252
VSIG2,VSIG2,0.246
ZNF626,ZNF626,0.244
POLR2D,POLR2D,0.244
TRAPPC2B,TRAPPC2B,0.244
TM2D1,TM2D1,0.242
EMCN,EMCN,0.238
DPPA4,DPPA4,0.234
PRR15,PRR15,0.23
SELENOS,SELENOS,0.214
EGFLAM,EGFLAM,0.21
GDPD1,GDPD1,0.21
XPR1,XPR1,0.206
BSN,BSN,0.206
ZNF880,ZNF880,0.2
CTSG,CTSG,0.198
TBC1D8,TBC1D8,0.198
TSPAN8,TSPAN8,0.196
PRB1,PRB1,0.192
AGGF1,AGGF1,0.186
SLC22A25,SLC22A25,0.184
COG7,COG7,0.184
PDCD11,PDCD11,0.18
COLEC11,COLEC11,0.178
PLGRKT,PLGRKT,0.178
MLXIPL,MLXIPL,0.178
HOXD8,HOXD8,0.178
GIMAP2,GIMAP2,0.178
DLGAP5,DLGAP5,0.176
WDR41,WDR41,0.172
NUTM2B,NUTM2B,0.17
DRAM2,DRAM2,0.168
S100A10,S100A10,0.168
ATXN7L2,ATXN7L2,0.166
GEMIN4,GEMIN4,0.164
THTPA,THTPA,0.162
ZSWIM1,ZSWIM1,0.158
PRSS48,PRSS48,0.156
TUSC3,TUSC3,0.156
COMMD2,COMMD2,0.156
RGCC,RGCC,0.152
RGS2,RGS2,0.15
CPNE1,CPNE1,0.144
SLPI,SLPI,0.144
S100A13,S100A13,0.142
TGFA,TGFA,0.14
EMP1,EMP1,0.138
AGAP9,AGAP9,0.136
SSTR1,SSTR1,0.136
HEATR4,HEATR4,0.134
BOLA3,BOLA3,0.132
RNF6,RNF6,0.132
LACC1,LACC1,0.132
USP31,USP31,0.13
PRNP,PRNP,0.128
ANO4,ANO4,0.126
CAPN5,CAPN5,0.126
CALCB,CALCB,0.124
RAB3B,RAB3B,0.124
PRTFDC1,PRTFDC1,0.122
LGALS3,LGALS3,0.122
TRPV1,TRPV1,0.12
EDA2R,EDA2R,0.118
CEP15,CEP15,0.118
SNX6,SNX6,0.116
ZNF28,ZNF28,0.116
PTPN22,PTPN22,0.114
HSPB8,HSPB8,0.114
CALCRL,CALCRL,0.112
NDUFS5,NDUFS5,0.11
ARHGEF40,ARHGEF40,0.11
CHN2,CHN2,0.11
HSD17B2,HSD17B2,0.11
TTC34,TTC34,0.11
TRO,TRO,0.11
SH3BGRL,SH3BGRL,0.108
C12orf57,C12orf57,0.106
KRTCAP2,KRTCAP2,0.102
TLR10,TLR10,0.1
ZNF816,ZNF816,0.1
TRAT1,TRAT1,0.1
FKBP15,FKBP15,0.098
ARL4A,ARL4A,0.098
BEX1,BEX1,0.098
FABP4,FABP4,0.098
ACTR3,ACTR3,0.098
PIGU,PIGU,0.096
GPR45,GPR45,0.096
HMGCLL1,HMGCLL1,0.096
SCAMP1,SCAMP1,0.096
ZNF845,ZNF845,0.094
HNF4A,HNF4A,0.092
ENSG00000233974,ENSG00000233974,0.092
MPZL3,MPZL3,0.092
LIMA1,LIMA1,0.09
MRFAP1L1,MRFAP1L1,0.09
C10orf62,C10orf62,0.09
RAP2A,RAP2A,0.088
RPL31,RPL31,0.088
TPCN2,TPCN2,0.088
DCX,DCX,0.088
KRT222,KRT222,0.088
NBPF20,NBPF20,0.086
RPS27L,RPS27L,0.086
SSR2,SSR2,0.086
EEFSEC,EEFSEC,0.084
DAGLB,DAGLB,0.084
ACR,ACR,0.082
PDCL3,PDCL3,0.082
ORMDL2,ORMDL2,0.082
ANKRD16,ANKRD16,0.078
IFNGR2,IFNGR2,0.076
ABCA4,ABCA4,0.076
TASL,TASL,0.074
GLIPR1,GLIPR1,0.074
GYS1,GYS1,0.074
LDLRAD4,LDLRAD4,0.074
RNASE13,RNASE13,0.074
CTDSP2,CTDSP2,0.074
FUNDC1,FUNDC1,0.074
SLC39A6,SLC39A6,0.074
RPL32,RPL32,0.074
LY96,LY96,0.074
MEAF6,MEAF6,0.072
VNN2,VNN2,0.072
CCR6,CCR6,0.072
FAM120C,FAM120C,0.072
MLF1,MLF1,0.072
STARD3NL,STARD3NL,0.07
RND3,RND3,0.07
S100A6,S100A6,0.07
CABLES2,CABLES2,0.068
SDCBP,SDCBP,0.068
MYT1L,MYT1L,0.068
LEPROTL1,LEPROTL1,0.068
TNFRSF11B,TNFRSF11B,0.068
LRRC47,LRRC47,0.066
HSPA13,HSPA13,0.066
SEC16B,SEC16B,0.066
TPM1,TPM1,0.064
NBPF8,NBPF8,0.064
SLC45A2,SLC45A2,0.064
AGAP5,AGAP5,0.064
BBS12,BBS12,0.064
GNL2,GNL2,0.062
RPL23,RPL23,0.062
CETN2,CETN2,0.062
C1orf50,C1orf50,0.062
IER3,IER3,0.062
CYP3A43,CYP3A43,0.06
TIMELESS,TIMELESS,0.06
CDKN2B,CDKN2B,0.058
COX7A1,COX7A1,0.058
CALHM5,CALHM5,0.058
CYCS,CYCS,0.058
PRKACB,PRKACB,0.056
CCDC70,CCDC70,0.056
NPIPB11,NPIPB11,0.056
NPC1L1,NPC1L1,0.056
CDHR3,CDHR3,0.056
ZNF614,ZNF614,0.054
MROH7,MROH7,0.054
APBA1,APBA1,0.054
F2RL1,F2RL1,0.054
SLC25A24,SLC25A24,0.054
C11orf42,C11orf42,0.052
DEFB1,DEFB1,0.052
RECQL,RECQL,0.052
GLA,GLA,0.052
SHROOM2,SHROOM2,0.052
CAPN3,CAPN3,0.052
TRNP1,TRNP1,0.052
TATDN3,TATDN3,0.05
NME1,NME1,0.05
RGS13,RGS13,0.05
CMYA5,CMYA5,0.048
EPCAM,EPCAM,0.048
OBI1,OBI1,0.048
SNED1,SNED1,0.048
SOAT2,SOAT2,0.048
RPS13,RPS13,0.048
ZBTB33,ZBTB33,0.048
ENSG00000285269,ENSG00000285269,0.048
C3orf49,C3orf49,0.046
MOGAT1,MOGAT1,0.046
MPZL2,MPZL2,0.046
ACBD3,ACBD3,0.046
BLOC1S2,BLOC1S2,0.046
NECAB2,NECAB2,0.046
ME2,ME2,0.046
C1orf54,C1orf54,0.044
MRPS21,MRPS21,0.044
GSDMB,GSDMB,0.044
SERPINE3,SERPINE3,0.044
BDNF,BDNF,0.044
MS4A4A,MS4A4A,0.044
WDR55,WDR55,0.042
RPS18,RPS18,0.042
ZNF124,ZNF124,0.042
DBF4,DBF4,0.042
ARMCX5,ARMCX5,0.042
IQCH,IQCH,0.042
MOSPD1,MOSPD1,0.04
PPA1,PPA1,0.04
PFDN1,PFDN1,0.04
H4C5,H4C5,0.04
UTP20,UTP20,0.04
APOO,APOO,0.04
BCR,BCR,0.038
SLC6A1,SLC6A1,0.038
STK26,STK26,0.038
H2BC4,H2BC4,0.038
TWSG1,TWSG1,0.038
TBC1D9B,TBC1D9B,0.038
SMG1,SMG1,0.038
CSRP2,CSRP2,0.038
RGS12,RGS12,0.038
PTN,PTN,0.038
ZNF212,ZNF212,0.036
DDX31,DDX31,0.036
UBR4,UBR4,0.036
ZUP1,ZUP1,0.034
ENSG00000267561,ENSG00000267561,0.034
BSPRY,BSPRY,0.034
ITGBL1,ITGBL1,0.034
ZNF627,ZNF627,0.034
ANKLE2,ANKLE2,0.034
PORCN,PORCN,0.034
HMGN1,HMGN1,0.034
COQ8A,COQ8A,0.032
RPS14,RPS14,0.032
RAB33A,RAB33A,0.032
NNAT,NNAT,0.032
METTL25B,METTL25B,0.032
CHRM5,CHRM5,0.032
SF3B6,SF3B6,0.032
ZNF486,ZNF486,0.03
SDCBP2,SDCBP2,0.03
RPS23,RPS23,0.03
IL18,IL18,0.03
FAP,FAP,0.03
UTP14A,UTP14A,0.03
EPRS1,EPRS1,0.03
COPS9,COPS9,0.03
ZNF778,ZNF778,0.028
CCT6A,CCT6A,0.028
HRNR,HRNR,0.028
EHMT1,EHMT1,0.026
RPS6,RPS6,0.026
